symbol;name;sector;industry;marketCap;pe;pb;ps;eps_growth;revenue_growth;ebit;ev;fcf;roic;current_price;ev_ebit;fcf_yield;classification;fair_value;dcf_value_gap;valuation_tag;growth_tag;final_tag
GOOG;Alphabet Inc.;Communication Services;Internet Content & Information;2,11433E+12;19,522322;6,1580706;5,877819;0,488;0,12;1,35705E+11;2,05582E+12;60679000064;0,16896999;174,92;15,14921471;2,869895215;Growth;199,9871941;14,3306621;Undervalued;Momentum;Growth - Momentum
MO;Altria Group, Inc.;Consumer Defensive;Tobacco;99786825728;9,939597;-28,453411;4,928718;-0,475;-0,042;12382999552;1,2117E+11;4378625024;0,20923;59,24;9,785183928;4,387979066;Value;93,87000298;58,45712859;Undervalued;Stable;Value - Undervalued
AMZN;Amazon.com, Inc.;Consumer Cyclical;Internet Retail;2,26734E+12;34,84013;7,410479;3,4865434;0,622;0,086;1,26144E+11;2,33072E+12;39273500672;0,07632;213,57;18,47667926;1,732136429;Growth;149,1429022;-30,16673589;Overvalued;Momentum;Growth - Momentum
AMCR;Amcor plc;Consumer Cyclical;Packaging & Containers;20874106880;16,267857;3,4171042;1,5505948;0,053;-0,023;1899000064;20436967424;658000000;0,04917;9,11;10,76196247;3,152230674;Blend;8,845200078;-2,906695086;Fair Valued;Watchlist;Blend - Watchlist
AEE;Ameren Corporation;Utilities;Utilities - Regulated Electric;26037596160;21,294899;2,1245437;3,4278035;0,092;0,156;3268000000;45686587392;-2507375104;0,02686;96,04;13,9799839;-9,629825613;Growth;73,87380424;-23,08017051;Overvalued;Watchlist;Growth - Watchlist
AEP;American Electric Power Company, Inc.;Utilities;Utilities - Regulated Electric;54375710720;19,65058;1,9895626;2,6973417;-0,211;0,087;7971500032;1,00886E+11;-2700450048;0,028900001;101,79;12,6557875;-4,966280003;Growth;81,58499647;-19,849694;Overvalued;Watchlist;Growth - Watchlist
AXP;American Express Company;Financial Services;Credit Services;2,11907E+11;21,136967;6,7953987;3,415158;0,093;0,088;0;2,12673E+11;0;0,03727;302,47;;;Growth;234,6124517;-22,43447227;Overvalued;Watchlist;Growth - Watchlist
AIG;American International Group, Inc.;Financial Services;Insurance - Diversified;50336657408;21,302439;1,2234892;1,861081;-0,333;0,003;7714999808;47125684224;19411625984;0,00726;87,34;6,108319559;38,56359755;Value;64,57500007;-26,06480413;Overvalued;Stable;Value - Overvalued
AMT;American Tower Corporation;Real Estate;REIT - Specialty;99498041344;34,391586;28,147264;9,776372;-0,471;0,02;6680600064;1,4818E+11;4535612416;0,04533;212,54;22,18056756;4,558494172;Blend;97,33499932;-54,20391488;Overvalued;Stable;Blend - Stable
AWK;American Water Works Company, Inc.;Utilities;Utilities - Regulated Water;27311431680;25,51002;2,5927024;5,672156;0,107;0,13;2601999872;41631375360;-1206125056;0,03475;140,05;15,99976073;-4,41619125;Growth;91,16144362;-34,9079303;Overvalued;Watchlist;Growth - Watchlist
AMP;Ameriprise Financial, Inc.;Financial Services;Asset Management;49385353216;17,634478;9,131614;2,7311885;-0,384;0,036;0;45433335808;3326500096;0,022219999;518,63;;6,735802985;Blend;463,2075018;-10,68632709;Overvalued;Stable;Blend - Stable
AME;AMETEK, Inc.;Industrials;Specialty Industrial Machinery;41177272320;29,142159;4,130098;5,9359155;0,134;-0,002;2180838912;42947870720;1462736512;0,07521;178,35;19,69327972;3,552290935;Growth;104,1011924;-41,63095466;Overvalued;Watchlist;Growth - Watchlist
AMGN;Amgen Inc.;Healthcare;Drug Manufacturers - General;1,56112E+11;26,465815;25,14986;4,5745816;;0,094;15726000128;2,04683E+11;13090124800;0,07037;290,33;13,01559285;8,385076174;Growth;172,7775056;-40,48926889;Overvalued;Watchlist;Growth - Watchlist
APH;Amphenol Corporation;Technology;Electronic Components;1,12928E+11;45,32039;10,9603195;6,7309747;0,318;0,477;4452499968;1,18495E+11;1426462464;0,118219994;93,36;26,61304195;1,263158099;Growth;40,72619852;-56,37725095;Overvalued;Momentum;Growth - Momentum
ADI;Analog Devices, Inc.;Technology;Semiconductors;1,10296E+11;60,23306;3,1503448;11,233317;0,871;0,223;4371051008;1,15139E+11;2982311936;0,02994;222,26;26,34124009;2,703914705;Growth;103,559854;-53,40598668;Overvalued;Momentum;Growth - Momentum
ANSS;ANSYS, Inc.;Technology;Software - Application;29827293184;50,262222;4,826718;11,547114;0,477;0,082;878038976;28859656192;772483648;0,06059;339,27;32,86830879;2,589855014;Growth;149,5462507;-55,92116879;Overvalued;Momentum;Growth - Momentum
AON;Aon plc;Financial Services;Insurance Brokers;80133177344;32,04577;11,449508;4,8990145;-0,172;0,162;5248000000;97721147392;3189374976;0,06008;371,09;18,62064546;3,980092992;Growth;182,3849918;-50,85154765;Overvalued;Watchlist;Growth - Watchlist
APA;APA Corporation;Energy;Oil & Gas E&P;6675632128;6,6308246;1,2300532;0,6578274;1,181;0,344;5967000064;13126634496;2278000128;0,082320005;18,5;2,199871687;34,12411116;Value;91,27484687;393,3775507;Undervalued;Momentum;Value - Undervalued
APO;Apollo Global Management, Inc.;Financial Services;Asset Management;76265873408;23,289703;4,591907;3,1273167;-0,703;-0,215;0;96282902528;0;0,01521;133,45;;;Blend;90,24750122;-32,37354723;Overvalued;Stable;Blend - Stable
AAPL;Apple Inc.;Technology;Consumer Electronics;3,04571E+12;31,763239;45,60948;7,60731;0,078;0,051;1,38866E+11;3,0954E+12;97251500032;0,23809999;203,92;22,29056499;3,193066817;Blend;103,8114029;-49,09209354;Overvalued;Watchlist;Blend - Watchlist
AMAT;Applied Materials, Inc.;Technology;Semiconductor Equipment & Materials;1,33809E+11;20,284672;7,0571804;4,763734;0,277;0,068;8744999936;1,33732E+11;3740875008;0,15880999;166,74;15,29234422;2,795692661;Growth;157,4540964;-5,569091775;Fair Valued;Momentum;Growth - Momentum
APTV;Aptiv PLC;Consumer Cyclical;Auto Parts;14509527040;10,888889;1,6641694;0,73888713;;-0,016;3104999936;22141558784;1634625024;0,05728;66,64;7,130936953;11,26587393;Value;96,38999902;44,64285567;Undervalued;Stable;Value - Undervalued
ACGL;Arch Capital Group Ltd.;Financial Services;Insurance - Diversified;35800346624;9,797949;1,7250844;1,9700829;-0,493;0,186;4457999872;35444277248;7810124800;0,03801;95,53;7,950712935;21,81577984;Value;153,5624956;60,74792796;Undervalued;Watchlist;Value - Undervalued
ADM;Archer-Daniels-Midland Company;Consumer Defensive;Farm Products;22782937088;16,697184;1,0290575;0,27168474;-0,57;-0,077;2609999872;34571939840;95125000;0,01791;47,42;13,24595461;0,417527379;Value;44,72999759;-5,672717028;Fair Valued;Stable;Value - Fair Valued
ANET;Arista Networks Inc;Technology;Computer Hardware;1,22138E+11;41,033756;12,076244;16,424053;0,28;0,276;3186673920;1,13989E+11;3057000960;0,15675001;97,25;35,77044854;2,502902773;Growth;45,5039992;-53,20925533;Overvalued;Momentum;Growth - Momentum
AJG;Arthur J. Gallagher & Co.;Financial Services;Insurance Brokers;84179984384;50,73457;3,7721736;7,4869914;-0,007;0,101;3720999936;80960135168;2389237504;0,026770001;328,76;21,75762875;2,838248928;Growth;102,0599958;-68,95607867;Overvalued;Watchlist;Growth - Watchlist
AIZ;Assurant, Inc.;Financial Services;Insurance - Property & Casualty;10316396544;15,871295;1,9754752;0,85461473;-0,367;0,067;1160099968;10429201408;1277987456;0,01705;203,47;8,989916124;12,3879249;Value;201,9149981;-0,764241355;Fair Valued;Watchlist;Value - Fair Valued
T;AT&T Inc.;Communication Services;Telecom Services;2,02197E+11;17,226994;1,9475656;1,6447588;0,296;0,02;44259000320;3,58457E+11;14413375488;0,041739997;28,08;8,099065099;7,128390254;Value;31,68719975;12,84615296;Undervalued;Momentum;Value - Undervalued
ATO;Atmos Energy Corporation;Utilities;Utilities - Regulated Gas;24171812864;21,283915;1,8398336;5,3882847;0,063;0,184;2189750016;32019757056;-1614407040;0,03644;152,18;14,62256277;-6,678882751;Growth;114,0067558;-25,08427139;Overvalued;Watchlist;Growth - Watchlist
ADSK;Autodesk, Inc.;Technology;Software - Application;63725654016;64,05591;24,356855;10,040279;-0,397;0,152;1499000064;64246038528;2230500096;0,08903;297,86;42,85926337;3,500160384;Growth;73,23750455;-75,41210483;Overvalued;Watchlist;Growth - Watchlist
ADP;Automatic Data Processing, Inc.;Technology;Software - Application;1,3266E+11;33,450356;22,677814;6,5664663;0,063;0,057;5949100032;1,34346E+11;2908587520;0,055710003;326,81;22,58252692;2,192517793;Blend;155,7826604;-52,33234588;Overvalued;Watchlist;Blend - Watchlist
AZO;AutoZone, Inc.;Consumer Cyclical;Auto Parts;62200569856;25,189571;-15,650271;3,2907968;-0,036;0,054;4299864064;74213203968;0;0,12982;3719,24;17,25943027;;Blend;2325,487401;-37,47412372;Overvalued;Watchlist;Blend - Watchlist
AVB;AvalonBay Communities, Inc.;Real Estate;REIT - Residential;28922058752;25,267412;2,4241085;9,677033;0,362;0,034;1825577984;37305290752;1227122816;0,029059999;203,15;20,43478344;4,242861224;Growth;164,2572061;-19,14486533;Overvalued;Momentum;Growth - Momentum
AVY;Avery Dennison Corporation;Consumer Cyclical;Packaging & Containers;14061445120;20,698505;6,509717;1,6065265;-0,019;-0,001;1428700032;17285838848;579662528;0,08647;179,87;12,09899801;4,122353877;Blend;136,8674936;-23,90754791;Overvalued;Stable;Blend - Stable
AXON;Axon Enterprise, Inc.;Industrials;Aerospace & Defense;61646155776;192,1966;24,11897;27,690107;-0,376;0,313;113022000;61325856768;483596640;0,00677;791,85;542,6010579;0,78447169;Growth;64,89000066;-91,80526607;Overvalued;Watchlist;Growth - Watchlist
BKR;Baker Hughes Company;Energy;Oil & Gas Equipment & Services;37549428736;12,935154;2,202464;1,3488551;-0,111;0,001;4622000128;40460423168;1716875008;0,05787;37,9;8,753877552;4,572306599;Value;46,14749851;21,7612098;Undervalued;Stable;Value - Undervalued
BALL;Ball Corporation;Consumer Cyclical;Packaging & Containers;14905668608;30,528408;2,729628;1,2402786;-0,946;0,078;1886000000;21582643200;251750000;0,04257;53,73;11,44360721;1,688954764;Blend;27,72000099;-48,40870837;Overvalued;Watchlist;Blend - Watchlist
BAC;Bank of America Corporation;Financial Services;Banks - Diversified;3,38709E+11;13,423882;1,235915;3,4756105;0,184;0,057;0;3,26655E+11;0;0,00841;44,97;;;Value;59,49599378;32,30152053;Undervalued;Momentum;Value - Undervalued
BAX;Baxter International Inc.;Healthcare;Medical Instruments & Supplies;15528676352;;2,1925948;1,4417117;2,379;0,054;1955000064;23516663808;1701500032;0,025;30,26;12,02898365;10,95714788;Growth;;;Fair Valued;Momentum;Growth - Momentum
BDX;Becton, Dickinson and Company;Healthcare;Medical Instruments & Supplies;49711984640;33,67961;1,9695008;2,3823254;-0,422;0,045;5573000192;68299055104;3501750016;0,03687;173,45;12,2553477;7,044076074;Blend;81,11250397;-53,23580053;Overvalued;Stable;Blend - Stable
BRK.B;BRK.B;Unknown;Unknown;0;;;;;;0;0;0;;0;;;Blend;;;Fair Valued;Stable;Blend - Stable
BBY;Best Buy Co., Inc.;Consumer Cyclical;Specialty Retail;15457310720;17,809755;5,6027007;0,37293258;-0,159;-0,009;2592999936;18384240640;1202499968;0,075100005;73,02;7,089950287;7,77949017;Blend;64,57500398;-11,56531912;Overvalued;Stable;Blend - Stable
TECH;Bio-Techne Corporation;Healthcare;Biotechnology;7632985600;58,66265;3,782335;6,3146715;-0,548;0,042;288959008;7915828736;244408752;0,05235;48,69;27,39429648;3,202007246;Blend;13,07250013;-73,15157089;Overvalued;Stable;Blend - Stable
BIIB;Biogen Inc.;Healthcare;Drug Manufacturers - General;19507273728;13,155139;1,1487023;1,9872127;-0,393;0,061;3080900096;23530149888;3428212480;0,0543;133,13;7,637427101;17,57402151;Value;159,389992;19,72507474;Undervalued;Watchlist;Value - Undervalued
BLK;BlackRock, Inc.;Financial Services;Asset Management;1,5323E+11;24,041079;3,191874;7,3123145;-0,08;0,116;8415000064;1,61749E+11;5569375232;0,036679998;989,05;19,22147891;3,634661167;Growth;647,9550065;-34,48713346;Overvalued;Watchlist;Growth - Watchlist
BX;Blackstone Inc.;Financial Services;Asset Management;1,70398E+11;42,560604;13,609496;13,772067;-0,282;-0,082;0;1,32419E+11;0;0,11889;140,45;;;Blend;51,97500252;-62,99394623;Overvalued;Stable;Blend - Stable
BK;The Bank of New York Mellon Corporation;Financial Services;Banks - Diversified;64617996288;14,734095;1,710023;3,4329276;0,264;0,061;0;-28106975232;0;0,01082;90,32;;;Value;116,224797;28,6811304;Undervalued;Momentum;Value - Undervalued
BA;The Boeing Company;Industrials;Aerospace & Defense;1,58944E+11;;-47,681522;2,288815;;0,177;-7688000000;1,91175E+11;-7940499968;-0,041020002;210,8;;-4,99576966;Growth;;;Fair Valued;Watchlist;Growth - Watchlist
BKNG;Booking Holdings Inc.;Consumer Cyclical;Travel Services;1,82701E+11;34,964565;-30,038145;7,585365;-0,55;0,079;8499999744;1,83884E+11;7502374912;0,17963;5614,61;21,63344774;4,106365554;Blend;2529,135069;-54,95439454;Overvalued;Watchlist;Blend - Watchlist
BSX;Boston Scientific Corporation;Healthcare;Medical Devices;1,51037E+11;74,51824;6,798748;8,604138;0,364;0,209;4536000000;1,62253E+11;2315000064;0,05283;102,09;35,76999235;1,532736537;Growth;28,03020308;-72,54363495;Overvalued;Momentum;Growth - Momentum
BMY;Bristol-Myers Squibb Company;Healthcare;Drug Manufacturers - General;98518220800;18,063433;5,6653013;2,0681462;;-0,056;19174000640;1,38066E+11;13926124544;0,07237;48,41;7,200701964;14,13558267;Blend;42,20999962;-12,80727202;Overvalued;Stable;Blend - Stable
AVGO;Broadcom Inc.;Technology;Semiconductors;1,16105E+12;90,12044;4,169636;20,352915;1,881;0,164;30927998976;1,30867E+11;26033125376;0,07946;246,93;4,231351432;2,242200686;Growth;118,4090973;-52,04750443;Overvalued;Momentum;Growth - Momentum
BR;Broadridge Financial Solutions, Inc.;Technology;Information Technology Services;28819548160;36,894737;12,070153;4,2582073;0,145;0,049;1684600064;32142354432;1226525056;0,09024;245,35;19,08010994;4,255878854;Growth;114,2137495;-53,44864499;Overvalued;Watchlist;Growth - Watchlist
BRO;Brown & Brown, Inc.;Financial Services;Insurance Brokers;31692457984;30,799444;4,652249;6,5210814;0,127;0,12;1667000064;35079196672;1039500032;0,05683;110,57;21,04330853;3,279960275;Growth;60,68894783;-45,11264554;Overvalued;Watchlist;Growth - Watchlist
BF.B;BF.B;Unknown;Unknown;0;;;;;;0;0;0;;0;;;Blend;;;Fair Valued;Stable;Blend - Stable
BLDR;Builders FirstSource, Inc.;Industrials;Building Products & Equipment;12336789504;14,311538;2,902345;0,7631019;-0,6;-0,06;1972672000;17330624512;1073425152;0,07772;111,63;8,785355352;8,701008894;Value;122,850004;10,05106509;Undervalued;Stable;Value - Undervalued
BG;Bunge Global SA;Consumer Defensive;Farm Products;10019892224;9,569962;0,9471839;0,19519016;-0,119;-0,132;1790000000;14812891136;-1116625024;0,0313;74,55;8,275358177;-11,14408218;Value;122,6924934;64,577456;Undervalued;Stable;Value - Undervalued
BXP;BXP, Inc.;Real Estate;REIT - Office;13100191744;;2,205821;3,8562493;-0,24;0,02;1891934976;30306580480;1055764864;0,02461;74,12;16,01882774;8,05915581;Blend;;;Fair Valued;Stable;Blend - Stable
CHRW;C.H. Robinson Worldwide, Inc.;Industrials;Integrated Freight & Logistics;11374430208;22,863962;6,569293;0,65523237;0,426;-0,083;803630976;12973241344;553985856;0,0887;95,8;16,14328184;4,870449296;Growth;89,62409927;-6,446660469;Fair Valued;Momentum;Growth - Momentum
CDNS;Cadence Design Systems, Inc.;Technology;Software - Application;81079820288;75,177216;16,975363;16,633371;0,099;0,231;1710598016;80649601024;1264132736;0,12727;296,95;47,14702126;1,559121285;Growth;65,1157493;-78,07181367;Overvalued;Watchlist;Growth - Watchlist
CZR;Caesars Entertainment, Inc.;Consumer Cyclical;Resorts & Casinos;5351016448;;1,345852;0,47366703;;0,019;3628000000;30658019328;21125000;0,04343;25,73;8,450391215;0,394784808;Value;;;Fair Valued;Stable;Value - Fair Valued
CPT;Camden Property Trust;Real Estate;REIT - Residential;12375046144;106,26605;2,7324197;7,9212055;-0,537;0,018;886947968;16159292416;687080000;0,02076;115,83;18,21898578;5,552140913;Blend;17,16750082;-85,17870947;Overvalued;Stable;Blend - Stable
CPB;The Campbell's Company;Consumer Defensive;Packaged Foods;10279521280;22,986666;2,6549625;1,0053321;-0,5;0,045;1855000064;17403521024;681625024;0,059899997;34,48;9,381951711;6,630902407;Blend;23,62500069;-31,48201657;Overvalued;Stable;Blend - Stable
COF;Capital One Financial Corporation;Financial Services;Credit Services;1,26837E+11;16,63644;1,2927345;4,480604;0,102;0,136;0;75698872320;0;0,00999;198,14;;;Growth;196,8722996;-0,639800342;Fair Valued;Watchlist;Growth - Watchlist
CAH;Cardinal Health, Inc.;Healthcare;Medical Distribution;36925718528;24,21127;-12,542359;0,16611806;0,963;0;3164999936;42328719360;3518749952;0,03131;154,71;13,37400323;9,52926603;Value;188,1535314;21,61691642;Undervalued;Momentum;Value - Undervalued
KMX;CarMax, Inc.;Consumer Cyclical;Auto & Truck Dealerships;10009932800;20,470404;1,6137428;0,35487005;0,838;0,068;1083725952;29212129280;354984000;0,01806;65,71;26,95527336;3,546317514;Value;88,49970426;34,68224662;Undervalued;Momentum;Value - Undervalued
CCL;Carnival Corporation & plc;Consumer Cyclical;Travel Services;32896002048;15,664517;3,4665906;1,2938957;;0,075;6383000064;60458065920;951500032;0,048130002;24,28;9,471731993;2,892448847;Blend;24,41249864;0,545711049;Fair Valued;Watchlist;Blend - Watchlist
CARR;Carrier Global Corporation;Industrials;Building Products & Equipment;60903305216;47,36;4,4091363;2,733051;0,616;-0,037;3232000000;71165288448;4930124800;0,03244;71,04;22,01896301;8,095003683;Growth;36,36;-48,81756757;Overvalued;Momentum;Growth - Momentum
CAT;Caterpillar Inc.;Industrials;Farm & Heavy Construction Machinery;1,66186E+11;17,244999;9,212619;2,6270697;-0,27;-0,098;14789999616;2,02293E+11;6817750016;0,09403;353,35;13,67766155;4,102486208;Blend;322,717473;-8,669174176;Fair Valued;Stable;Blend - Stable
CBOE;Cboe Global Markets, Inc.;Financial Services;Financial Data & Stock Exchanges;23309115392;29,250986;5,2367845;5,38031;0,209;0,248;1369600000;23759691776;813524992;0,09319;222,6;17,34790579;3,490158156;Growth;138,0073479;-38,00208991;Overvalued;Momentum;Growth - Momentum
CBRE;CBRE Group, Inc.;Real Estate;Real Estate Services;38327361536;39,318047;4,5814776;1,0431485;0,317;0,123;2256000000;46136262656;1163250048;0,038900003;128,57;20,45047104;3,035038159;Growth;64,59884312;-49,75589708;Overvalued;Momentum;Growth - Momentum
CDW;CDW Corporation;Technology;Information Technology Services;23471536128;22,086742;10,104881;1,100653;0,063;0,067;1985799936;29120761856;957524992;0,07545;178,24;14,66449934;4,07951566;Blend;128,6761443;-27,80736969;Overvalued;Watchlist;Blend - Watchlist
COR;Cencora, Inc.;Healthcare;Medical Distribution;56003219456;33,442127;55,27836;0,18052034;0,761;0,103;4311264256;63957815296;3878175488;0,02974;288,94;14,83504872;6,924915256;Growth;228,2256179;-21,01279922;Overvalued;Momentum;Growth - Momentum
CNC;Centene Corporation;Healthcare;Healthcare Plans;27447781376;8,135693;0,9830514;0,17908591;0,218;0,166;6483999744;28583782400;2509374976;0,03858;55,16;4,408356497;9,142359966;Value;123,8706033;124,5659958;Undervalued;Momentum;Value - Undervalued
CNP;CenterPoint Energy, Inc.;Utilities;Utilities - Regulated Electric;23896373248;24,736486;2,1813738;2,6720757;-0,182;0,114;3361999872;44167385088;-1248875008;0,02971;36,61;13,1372358;-5,226211505;Growth;23,31000046;-36,32887064;Overvalued;Watchlist;Growth - Watchlist
CF;CF Industries Holdings, Inc.;Basic Materials;Agricultural Inputs;14927601664;12,187831;3,1739578;2,4355688;0,796;0,131;2784999936;19334602752;1633874944;0,08705;92,14;6,942406893;10,94532786;Growth;203,6663948;121,0401506;Undervalued;Momentum;Growth - Momentum
CRL;Charles River Laboratories International, Inc.;Healthcare;Diagnostics & Research;7107041792;;2,224853;1,7667794;-0,615;-0,027;888742016;9914467328;625616896;0,04265;144,7;11,15561901;8,80277497;Blend;;;Fair Valued;Stable;Blend - Stable
SCHW;The Charles Schwab Corporation;Financial Services;Capital Markets;1,60348E+11;26,742424;3,9746883;7,8352113;0,454;0,181;0;1,47616E+11;0;0,01393;88,25;;;Growth;71,97300065;-18,4441919;Overvalued;Momentum;Growth - Momentum
CHTR;Charter Communications, Inc.;Communication Services;Telecom Services;54763225088;11,061664;3,4250836;0,9931489;0,115;0,004;22151999488;1,54683E+11;3570749952;0,05639;396,45;6,982818507;6,520342705;Value;599,4239429;51,19786679;Undervalued;Watchlist;Value - Undervalued
CVX;Chevron Corporation;Energy;Oil & Gas Integrated;2,42876E+11;16,024;1,640689;1,2447966;-0,327;-0,01;38499999744;2,70736E+11;13518749696;0,05233;140,21;7,032100937;5,566112029;Value;137,8125;-1,709935097;Fair Valued;Stable;Value - Fair Valued
CMG;Chipotle Mexican Grill, Inc.;Consumer Cyclical;Restaurants;70736396288;46,46018;20,301624;6,157814;0,077;0,064;2342904064;73954967552;1160955648;0,1435;52,5;31,56551251;1,641242287;Blend;18,25514882;-65,22828797;Overvalued;Watchlist;Blend - Watchlist
CB;Chubb Limited;Financial Services;Insurance - Property & Casualty;1,17748E+11;14,146365;1,7914981;2,0911748;-0,371;0,033;10869000192;1,37503E+11;11917375488;0,0271;293,82;12,65095459;10,1211044;Value;327,1274988;11,33602166;Undervalued;Stable;Value - Undervalued
CHD;Church & Dwight Co., Inc.;Consumer Defensive;Household & Personal Products;24398661632;42,519314;5,3600607;4,018953;-0,043;-0,024;1365400064;25728794624;764049984;0,08238;99,07;18,84341103;3,131524161;Blend;36,6974994;-62,95801009;Overvalued;Stable;Blend - Stable
CI;The Cigna Group;Healthcare;Healthcare Plans;83396706304;17,391642;2,0946054;0,32657462;;0,144;11470999552;1,04972E+11;7582125056;0,040260002;312,18;9,151039961;9,091636099;Growth;282,7125236;-9,439258237;Fair Valued;Watchlist;Growth - Watchlist
